dataset,raw_nodes,nodes,raw_edges,edges,division_like_sources,edge_to_node_ratio,gap_added_nodes_frac,dropped_nonconsecutive_edges,dropped_long_edges,dropped_multi_parent_edges,dropped_multi_child_edges,dropped_division_edges,gap_candidates,gap_pairs_selected,gap_reused_existing,gap_inserted_synthetic,gap_added_nodes,gap_added_edges,gap_skipped_node_cap,gap_density_nodes_scored,gap_density_candidates_expanded,gap_density_candidates_restricted,gap_density_selected_outside_base,gap_density_step_delta_milli_sum,gap_refined_synthetic,gap_refine_failed,gap_refine_rejected_shift,pruned_isolated_nodes,motion_relink_edges,motion_relink_tight_edges,motion_relink_relaxed_edges,motion_relink_frames,motion_relink_replaced_raw_edges,motion_relink_fallback_raw,motion_relink_skipped_large_frame,gap2_candidates,gap2_pairs_selected,gap2_added_nodes,gap2_added_edges,gap2_skipped_cap,safe_division_candidates,safe_division_geometric_candidates,safe_divisions_added,safe_division_skipped_cap,safe_division_mutual_nn_rejected,safe_division_divergence_rejected,safe_division_symmetry_rejected,deepcenter_gap_checked,deepcenter_gap_bypassed_strong_motion,deepcenter_gap_bypassed_observed_node,deepcenter_gap_accepted,deepcenter_gap_rejected,deepcenter_gap_missing,deepcenter_safe_div_checked,deepcenter_safe_div_accepted,deepcenter_safe_div_rejected,deepcenter_safe_div_missing,short_track_components_removed,short_track_nodes_removed,short_track_edges_removed,short_track_filter_skipped_all,short_track_rescue_triggered,short_track_rescue_components,short_track_rescue_nodes,short_track_rescue_budget,linefit_smoothed_nodes,linefit_skipped_nodes,gap_close_effective_max_gap,learned_division_context_checked,learned_division_scored,learned_division_rejected,learned_division_accepted,learned_division_missing_context,predict_minutes_total,experiment_tag
44b6_0113de3b,25822,25645,24999,24946,62,0.972743224800156,0.001703973356052978,0,3,0,0,0,51,44,0,44,44,88,0,24703,1,0,0,555528,60,0,0,5,24951,24139,812,99,24996,0,0,9,8,16,24,0,68,86,62,0,0,0,0,5,39,0,5,0,0,86,68,18,0,53,232,179,0,0,0,0,0,25634,11,1,767,760,674,86,7,9.317995150883993,selected_101_dual_seed_near_balanced_center_confirmed_synthetic_gap:tight55
44b6_0b24845f,22491,20725,20145,19444,23,0.9381905910735826,0.010582010582010581,0,2,0,0,0,338,238,0,238,238,476,0,21812,11,0,7,4622911,434,0,0,15,20375,19236,1139,99,20143,0,0,181,72,144,216,0,25,69,23,0,0,0,0,57,233,0,5,52,0,69,25,44,0,487,2133,1646,0,0,0,0,0,20721,4,1,1201,1101,1032,69,100,9.317995150883993,selected_101_dual_seed_near_balanced_center_confirmed_synthetic_gap:tight55
6bba_05b6850b,6305,6161,6015,5963,8,0.9678623600064925,0.003013481363996828,0,3,0,0,0,21,19,0,19,19,38,0,4979,0,0,0,49964,33,0,0,1,6032,5826,206,99,6012,0,0,8,6,12,18,0,9,10,8,0,0,0,0,2,19,0,0,2,0,10,9,1,0,41,174,133,0,0,0,0,0,6161,0,1,109,104,94,10,5,9.317995150883993,selected_101_dual_seed_near_balanced_center_confirmed_synthetic_gap:tight55
6bba_05db0fb1,70687,70302,67239,68227,44,0.9704844812380871,0.00437138370563187,0,1,0,0,0,429,309,0,309,309,618,0,68121,13,0,10,4015673,469,0,0,27,67990,65845,2145,99,67238,0,0,172,59,118,177,0,46,118,44,0,0,0,0,51,300,0,9,42,0,118,46,72,0,183,785,602,0,0,0,0,0,70302,0,1,3202,3081,2963,118,121,9.317995150883993,selected_101_dual_seed_near_balanced_center_confirmed_synthetic_gap:tight55
