config,n,edge_jaccard,division_jaccard,division_tp,division_fp,division_fn,node_recall,adj_edge_jaccard,n_adj,score,adjusted_edge_jaccard,proxy_score,official_score,proxy_score_field_semantics,div_tp,div_fp,div_fn,metric_provenance,error_decomposition_provenance,official_rows_skipped,official_adjusted_rows_used,legacy_proxy_score,missed_gt_nodes,spurious_pred_nodes,edges_recovered,edges_fragmented,edges_lost_to_detection,wrong_association_edges,legacy_proxy_adjusted_edge_jaccard,legacy_proxy_division_jaccard,legacy_proxy_div_tp,legacy_proxy_div_fp,legacy_proxy_div_fn,legacy_proxy_missed_gt_nodes,legacy_proxy_spurious_pred_nodes,legacy_proxy_edges_recovered,legacy_proxy_edges_fragmented,legacy_proxy_edges_lost_to_detection,legacy_proxy_wrong_association_edges,n_samples,seconds,overrides
tight55,8,0.9247204139542647,0.1875,3,4,9,0.9844442605103172,0.9277024853649979,8,0.9464524853649979,0.9277024853649979,0.9464524853649979,0.9464524853649979,official_score_alias_for_unchanged_cell10,3,4,9,official_075fc5:evaluate->per_sample_metrics->summarise,unchanged_forge947_cell8_proxy; independent_global_node_matching,0,8,0.9527024853649979,63,183027,5540,132,79,0,0.9277024853649979,0.25,4,4,8,63,183027,5540,132,79,0,8,412.7691366672516,"{""MOTION_RELINK_TIGHT_UM"": 5.5}"
dcgap035,8,0.9226666666666666,0.1875,3,4,9,0.9844442605103172,0.9256634047836677,8,0.9444134047836678,0.9256634047836677,0.9444134047836678,0.9444134047836678,official_score_alias_for_unchanged_cell10,3,4,9,official_075fc5:evaluate->per_sample_metrics->summarise,unchanged_forge947_cell8_proxy; independent_global_node_matching,0,8,0.9506634047836677,63,182938,5536,136,79,0,0.9256634047836677,0.25,4,4,8,63,182938,5536,136,79,0,8,415.8797047138214,"{""DEEPCENTER_GAP_THRESHOLD"": 0.35}"
gap45,8,0.9226666666666666,0.1875,3,4,9,0.9844442605103172,0.9256611667819991,8,0.9444111667819991,0.9256611667819991,0.9444111667819991,0.9444111667819991,official_score_alias_for_unchanged_cell10,3,4,9,official_075fc5:evaluate->per_sample_metrics->summarise,unchanged_forge947_cell8_proxy; independent_global_node_matching,0,8,0.9506611667819991,63,182964,5536,136,79,0,0.9256611667819991,0.25,4,4,8,63,182964,5536,136,79,0,8,395.77859902381897,"{""GAP_CLOSE_UM"": 4.5}"
bonus125,8,0.9226666666666666,0.1875,3,4,9,0.9844442605103172,0.9256534319091649,8,0.944403431909165,0.9256534319091649,0.944403431909165,0.944403431909165,official_score_alias_for_unchanged_cell10,3,4,9,official_075fc5:evaluate->per_sample_metrics->summarise,unchanged_forge947_cell8_proxy; independent_global_node_matching,0,8,0.950653431909165,63,183023,5536,136,79,0,0.9256534319091649,0.25,4,4,8,63,183023,5536,136,79,0,8,415.45998907089233,"{""MOTION_RELINK_LEARNED_BONUS"": 1.25}"
base,8,0.9226666666666666,0.1875,3,4,9,0.9844442605103172,0.9256454107365379,8,0.944395410736538,0.9256454107365379,0.944395410736538,0.944395410736538,official_score_alias_for_unchanged_cell10,3,4,9,official_075fc5:evaluate->per_sample_metrics->summarise,unchanged_forge947_cell8_proxy; independent_global_node_matching,0,8,0.950645410736538,63,183025,5536,136,79,0,0.9256454107365379,0.25,4,4,8,63,183025,5536,136,79,0,8,419.7971875667572,{}
gap2step40,8,0.9226666666666666,0.1875,3,4,9,0.9844442605103172,0.9256454107365379,8,0.944395410736538,0.9256454107365379,0.944395410736538,0.944395410736538,official_score_alias_for_unchanged_cell10,3,4,9,official_075fc5:evaluate->per_sample_metrics->summarise,unchanged_forge947_cell8_proxy; independent_global_node_matching,0,8,0.950645410736538,63,183025,5536,136,79,0,0.9256454107365379,0.25,4,4,8,63,183025,5536,136,79,0,8,413.02310824394226,"{""GAP2_MAX_STEP_UM"": 4.0}"
reuse28,8,0.9226666666666666,0.1875,3,4,9,0.9844442605103172,0.9256454107365379,8,0.944395410736538,0.9256454107365379,0.944395410736538,0.944395410736538,official_score_alias_for_unchanged_cell10,3,4,9,official_075fc5:evaluate->per_sample_metrics->summarise,unchanged_forge947_cell8_proxy; independent_global_node_matching,0,8,0.950645410736538,63,183025,5536,136,79,0,0.9256454107365379,0.25,4,4,8,63,183025,5536,136,79,0,8,413.6889297962189,"{""GAP_CLOSE_REUSE_UM"": 2.8}"
relaxed9,8,0.9229229229229229,0.17647058823529413,3,5,9,0.9840410347038656,0.9259832294026517,8,0.9436302882261811,0.9259832294026517,0.9436302882261811,0.9436302882261811,official_score_alias_for_unchanged_cell10,3,5,9,official_075fc5:evaluate->per_sample_metrics->summarise,unchanged_forge947_cell8_proxy; independent_global_node_matching,0,8,0.9495126411673576,66,182976,5532,137,82,0,0.9259832294026517,0.23529411764705882,4,5,8,66,182976,5532,137,82,0,8,417.83033776283264,"{""MOTION_RELINK_RELAXED_UM"": 9.0}"
