dataset,raw_nodes,nodes,raw_edges,edges,division_like_sources,edge_to_node_ratio,gap_added_nodes_frac,dropped_nonconsecutive_edges,dropped_long_edges,dropped_multi_parent_edges,dropped_multi_child_edges,dropped_division_edges,gap_candidates,gap_pairs_selected,gap_reused_existing,gap_inserted_synthetic,gap_added_nodes,gap_added_edges,gap_skipped_node_cap,gap_density_nodes_scored,gap_density_candidates_expanded,gap_density_candidates_restricted,gap_density_selected_outside_base,gap_density_step_delta_milli_sum,gap_refined_synthetic,gap_refine_failed,gap_refine_rejected_shift,pruned_isolated_nodes,motion_relink_edges,motion_relink_tight_edges,motion_relink_relaxed_edges,motion_relink_frames,motion_relink_replaced_raw_edges,motion_relink_fallback_raw,motion_relink_skipped_large_frame,gap2_candidates,gap2_pairs_selected,gap2_added_nodes,gap2_added_edges,gap2_skipped_cap,safe_division_candidates,safe_division_geometric_candidates,safe_divisions_added,safe_division_skipped_cap,safe_division_mutual_nn_rejected,safe_division_divergence_rejected,safe_division_symmetry_rejected,deepcenter_gap_checked,deepcenter_gap_bypassed_strong_motion,deepcenter_gap_bypassed_observed_node,deepcenter_gap_accepted,deepcenter_gap_rejected,deepcenter_gap_missing,deepcenter_safe_div_checked,deepcenter_safe_div_accepted,deepcenter_safe_div_rejected,deepcenter_safe_div_missing,short_track_components_removed,short_track_nodes_removed,short_track_edges_removed,short_track_filter_skipped_all,short_track_rescue_triggered,short_track_rescue_components,short_track_rescue_nodes,short_track_rescue_budget,linefit_smoothed_nodes,linefit_skipped_nodes,gap_close_effective_max_gap,predict_minutes_total,experiment_tag
44b6_0113de3b,25668,25473,24801,24752,47,0.9716955207474581,0.0019089917406887953,0,5,0,0,0,61,49,0,49,49,98,0,24328,1,0,1,623332,76,0,0,6,24774,24192,582,99,24796,0,0,16,12,24,36,0,61,171,47,0,61,533,36,12,40,0,9,3,0,171,97,74,0,59,262,203,0,0,0,0,0,25465,8,1,9.151548798878988,selected_101_dual_seed_near_balanced_center_confirmed_synthetic_gap
44b6_0b24845f,20197,18532,17945,17313,9,0.9342218864666523,0.011783928306184088,0,2,0,0,0,435,238,0,238,238,476,0,19606,28,0,13,4235652,452,0,0,19,18187,17384,803,99,17943,0,0,141,62,124,186,0,9,190,9,0,58,775,16,110,218,0,20,90,0,190,25,165,0,463,2008,1545,0,1,28,120,120,18532,0,1,9.151548798878988,selected_101_dual_seed_near_balanced_center_confirmed_synthetic_gap
6bba_05b6850b,6205,6039,5919,5842,6,0.9673787050836231,0.0030620467365028202,0,3,0,0,0,21,19,0,19,19,38,0,4454,0,0,0,46088,26,0,0,1,5934,5759,175,99,5916,0,0,5,3,6,9,0,6,20,6,0,6,83,9,3,17,0,2,1,0,20,15,5,0,45,190,145,0,0,0,0,0,6039,0,1,9.151548798878988,selected_101_dual_seed_near_balanced_center_confirmed_synthetic_gap
6bba_05db0fb1,69760,69271,66175,67146,25,0.9693233820790808,0.004845183486238532,0,1,0,0,0,607,338,0,338,338,676,0,66574,19,0,8,4608762,542,0,0,27,66974,65221,1753,99,66174,0,0,190,58,116,174,0,31,296,25,0,285,2689,30,105,321,0,17,88,0,296,61,235,0,213,916,703,0,0,0,0,0,69271,0,1,9.151548798878988,selected_101_dual_seed_near_balanced_center_confirmed_synthetic_gap
