edge_tp,edge_fp,edge_fn,division_tp,division_fp,division_fn,num_pred_nodes,node_recall,total_node_ratio,edge_jaccard,adj_edge_jaccard,score,n_total,weight,stem,embryo,arm
746,33,27,0,0,1,44959,0.9923857868020305,-0.23372307062994274,0.9255583126550868,0.9471907457431684,0.9471907457431684,58672.0,806,44b6_12dfb391,44b6,B0
253,29,24,0,0,1,22263,0.9821428571428571,0.16377417668583377,0.826797385620915,0.8132565795093085,0.8132565795093085,19130.0,306,44b6_267148e4,44b6,B0
198,21,12,0,1,1,40117,1.0,-0.2882892472545993,0.8571428571428571,0.881853364050394,0.881853364050394,56367.0,231,44b6_2a2eff9f,44b6,B0
207,0,2,1,0,0,8413,0.9907407407407407,0.13138784292630445,0.9904306220095693,0.9774175677101697,1.0774175677101698,7436.0,209,44b6_341df25f,44b6,B0
888,6,10,1,0,0,5853,0.9935483870967742,-0.02935323383084577,0.9823008849557522,0.9851842557125876,1.0851842557125877,6030.0,904,6bba_062c8d37,6bba,B0
307,18,38,0,0,2,29179,0.9275766016713092,0.35811030951826855,0.8457300275482094,0.8154435633547911,0.8154435633547912,21485.0,363,6bba_07e24132,6bba,B0
1161,3,7,0,0,1,8300,0.9958263772954925,-0.01926030958289023,0.9914602903501281,0.9933698735632566,0.9933698735632566,8463.0,1171,6bba_085bf656,6bba,B0
1779,127,92,0,0,4,29742,0.9933333333333333,-0.044188064402095314,0.8903903903903904,0.8943248531817481,0.8943248531817481,31117.0,1998,6bba_09961292,6bba,B0
746,33,27,0,0,1,44943,0.9923857868020305,-0.23399577311153533,0.9255583126550868,0.9472159859480404,0.9472159859480405,58672.0,806,44b6_12dfb391,44b6,F1
253,32,24,0,0,1,22321,0.9857142857142858,0.1668060637741767,0.8187702265372169,0.8051126426748005,0.8051126426748005,19130.0,309,44b6_267148e4,44b6,F1
198,21,12,0,1,1,40124,1.0,-0.28816506111732043,0.8571428571428571,0.8818427195243417,0.8818427195243417,56367.0,231,44b6_2a2eff9f,44b6,F1
207,0,2,1,0,0,8413,0.9907407407407407,0.13138784292630445,0.9904306220095693,0.9774175677101697,1.0774175677101698,7436.0,209,44b6_341df25f,44b6,F1
884,7,14,1,0,0,5850,0.9903225806451613,-0.029850746268656716,0.9767955801104973,0.9797113878123196,1.0797113878123197,6030.0,905,6bba_062c8d37,6bba,F1
307,16,38,0,0,2,29220,0.9275766016713092,0.3600186176402141,0.850415512465374,0.8197989707436161,0.8197989707436161,21485.0,361,6bba_07e24132,6bba,F1
1161,3,7,0,0,1,8300,0.9958263772954925,-0.01926030958289023,0.9914602903501281,0.9933698735632566,0.9933698735632566,8463.0,1171,6bba_085bf656,6bba,F1
1785,115,86,0,0,4,29728,0.9928205128205129,-0.044637979239643924,0.8987915407854985,0.9028035645993335,0.9028035645993335,31117.0,1986,6bba_09961292,6bba,F1
