config,adjusted_edge_jaccard,division_jaccard,proxy_score,div_tp,div_fp,div_fn,missed_gt_nodes,spurious_pred_nodes,edges_recovered,edges_fragmented,edges_lost_to_detection,wrong_association_edges,n_samples,seconds,overrides
tight55,0.928170444308759,0.23076923076923078,0.951247367385682,3,1,9,58,183084,5542,136,73,0,8,322.779137134552,"{""MOTION_RELINK_TIGHT_UM"": 5.5}"
dcgap035,0.9261332144645147,0.23076923076923078,0.9492101375414378,3,1,9,58,182983,5538,140,73,0,8,320.86213994026184,"{""DEEPCENTER_GAP_THRESHOLD"": 0.35}"
gap45,0.9261327637042657,0.23076923076923078,0.9492096867811888,3,1,9,58,182996,5538,140,73,0,8,315.0711815357208,"{""GAP_CLOSE_UM"": 4.5}"
bonus125,0.9261222771895784,0.23076923076923078,0.9491992002665015,3,1,9,58,183073,5538,140,73,0,8,322.3194375038147,"{""MOTION_RELINK_LEARNED_BONUS"": 1.25}"
base,0.9261127104570176,0.23076923076923078,0.9491896335339407,3,1,9,58,183082,5538,140,73,0,8,319.3995568752289,{}
gap2step40,0.9261127104570176,0.23076923076923078,0.9491896335339407,3,1,9,58,183082,5538,140,73,0,8,321.6186304092407,"{""GAP2_MAX_STEP_UM"": 4.0}"
reuse28,0.9261127104570176,0.23076923076923078,0.9491896335339407,3,1,9,58,183082,5538,140,73,0,8,322.48596119880676,"{""GAP_CLOSE_REUSE_UM"": 2.8}"
relaxed9,0.9267697871634462,0.21428571428571427,0.9481983585920176,3,2,9,63,183016,5534,138,79,0,8,321.29659128189087,"{""MOTION_RELINK_RELAXED_UM"": 9.0}"
