adjusted_edge_jaccard,config,div_fn,div_fp,div_jaccard,div_tp,edge_fn,edge_fp,edge_jaccard,edge_tp,edges_fragmented,edges_lost_to_detection,edges_recovered,missed_gt_nodes,safe_divisions_added,spurious_pred_nodes,stem,t_pred,t_true,weight,wrong_association_edges
0.9830199463089708,bonus125,0,0,1.0,1,11,7,0.980110497237569,887,5,6,887,6,4,4927,6bba_062c8d37,5851,6030.0,905,0
0.8081776836977694,bonus125,2,0,0.0,0,39,20,0.8383561643835616,306,7,32,306,26,5,28886,6bba_07e24132,29219,21485.0,365,0
0.9950165779446176,bonus125,1,0,0.0,0,6,2,0.9931623931623932,1162,0,6,1162,5,3,7112,6bba_085bf656,8305,8463.0,1170,0
0.8915174599478998,bonus125,4,0,0.0,0,94,131,0.8876123876123876,1777,77,17,1777,13,24,27811,6bba_09961292,29748,31117.0,2002,0
0.9471923232559728,gap2step40,1,0,0.0,0,27,33,0.9255583126550868,746,19,8,746,6,20,44176,44b6_12dfb391,44958,58672.0,806,0
0.8000328770991506,gap2step40,1,0,0.0,0,24,34,0.8135048231511254,253,20,4,253,2,19,22020,44b6_267148e4,22298,19130.0,311,0
0.8817834143077635,gap2step40,0,1,0.5,1,12,21,0.8571428571428571,198,12,0,198,0,30,39949,44b6_2a2eff9f,40163,56367.0,231,0
0.9867805271651425,gap2step40,0,0,1.0,1,0,0,1.0,209,0,0,209,0,11,8203,44b6_341df25f,8419,7436.0,209,0
0.9830199463089708,gap2step40,0,0,1.0,1,11,7,0.980110497237569,887,5,6,887,6,4,4927,6bba_062c8d37,5851,6030.0,905,0
0.8082167042313688,gap2step40,2,0,0.0,0,39,20,0.8383561643835616,306,7,32,306,26,4,28876,6bba_07e24132,29209,21485.0,365,0
0.9950165779446176,gap2step40,1,0,0.0,0,6,2,0.9931623931623932,1162,0,6,1162,5,3,7112,6bba_085bf656,8305,8463.0,1170,0
0.8914946399488611,gap2step40,4,0,0.0,0,94,131,0.8876123876123876,1777,77,17,1777,13,24,27819,6bba_09961292,29756,31117.0,2002,0
0.9471923232559728,reuse28,1,0,0.0,0,27,33,0.9255583126550868,746,19,8,746,6,20,44176,44b6_12dfb391,44958,58672.0,806,0
0.8000328770991506,reuse28,1,0,0.0,0,24,34,0.8135048231511254,253,20,4,253,2,19,22020,44b6_267148e4,22298,19130.0,311,0
0.8817834143077635,reuse28,0,1,0.5,1,12,21,0.8571428571428571,198,12,0,198,0,30,39949,44b6_2a2eff9f,40163,56367.0,231,0
0.9867805271651425,reuse28,0,0,1.0,1,0,0,1.0,209,0,0,209,0,11,8203,44b6_341df25f,8419,7436.0,209,0
0.9830199463089708,reuse28,0,0,1.0,1,11,7,0.980110497237569,887,5,6,887,6,4,4927,6bba_062c8d37,5851,6030.0,905,0
0.8082167042313688,reuse28,2,0,0.0,0,39,20,0.8383561643835616,306,7,32,306,26,4,28876,6bba_07e24132,29209,21485.0,365,0
0.9950165779446176,reuse28,1,0,0.0,0,6,2,0.9931623931623932,1162,0,6,1162,5,3,7112,6bba_085bf656,8305,8463.0,1170,0
0.8914946399488611,reuse28,4,0,0.0,0,94,131,0.8876123876123876,1777,77,17,1777,13,24,27819,6bba_09961292,29756,31117.0,2002,0
0.9472491137169348,dcgap035,1,0,0.0,0,27,33,0.9255583126550868,746,19,8,746,6,21,44140,44b6_12dfb391,44922,58672.0,806,0
0.8001051697389497,dcgap035,1,0,0.0,0,24,34,0.8135048231511254,253,20,4,253,2,19,22003,44b6_267148e4,22281,19130.0,311,0
0.8818411988777628,dcgap035,0,1,0.5,1,12,21,0.8571428571428571,198,12,0,198,0,31,39911,44b6_2a2eff9f,40125,56367.0,231,0
0.9867805271651425,dcgap035,0,0,1.0,1,0,0,1.0,209,0,0,209,0,11,8203,44b6_341df25f,8419,7436.0,209,0
0.9830199463089708,dcgap035,0,0,1.0,1,11,7,0.980110497237569,887,5,6,887,6,4,4927,6bba_062c8d37,5851,6030.0,905,0
0.8082206062847288,dcgap035,2,0,0.0,0,39,20,0.8383561643835616,306,7,32,306,26,4,28875,6bba_07e24132,29208,21485.0,365,0
0.9950165779446176,dcgap035,1,0,0.0,0,6,2,0.9931623931623932,1162,0,6,1162,5,3,7112,6bba_085bf656,8305,8463.0,1170,0
0.8915146074480199,dcgap035,4,0,0.0,0,94,131,0.8876123876123876,1777,77,17,1777,13,24,27812,6bba_09961292,29749,31117.0,2002,0
