dataset,raw_nodes,nodes,raw_edges,edges,division_like_sources,edge_to_node_ratio,gap_added_nodes_frac,dropped_nonconsecutive_edges,dropped_long_edges,dropped_multi_parent_edges,dropped_multi_child_edges,dropped_division_edges,gap_candidates,gap_pairs_selected,gap_reused_existing,gap_inserted_synthetic,gap_added_nodes,gap_added_edges,gap_skipped_node_cap,gap_density_nodes_scored,gap_density_candidates_expanded,gap_density_candidates_restricted,gap_density_selected_outside_base,gap_density_step_delta_milli_sum,gap_refined_synthetic,gap_refine_failed,gap_refine_rejected_shift,pruned_isolated_nodes,motion_relink_edges,motion_relink_tight_edges,motion_relink_relaxed_edges,motion_relink_frames,motion_relink_replaced_raw_edges,motion_relink_fallback_raw,motion_relink_skipped_large_frame,gap2_candidates,gap2_pairs_selected,gap2_added_nodes,gap2_added_edges,gap2_skipped_cap,safe_division_candidates,safe_division_geometric_candidates,safe_divisions_added,safe_division_skipped_cap,safe_division_mutual_nn_rejected,safe_division_divergence_rejected,safe_division_symmetry_rejected,deepcenter_gap_checked,deepcenter_gap_bypassed_strong_motion,deepcenter_gap_bypassed_observed_node,deepcenter_gap_accepted,deepcenter_gap_rejected,deepcenter_gap_missing,deepcenter_safe_div_checked,deepcenter_safe_div_accepted,deepcenter_safe_div_rejected,deepcenter_safe_div_missing,short_track_components_removed,short_track_nodes_removed,short_track_edges_removed,short_track_filter_skipped_all,short_track_rescue_triggered,short_track_rescue_components,short_track_rescue_nodes,short_track_rescue_budget,linefit_smoothed_nodes,linefit_skipped_nodes,gap_close_effective_max_gap,predict_minutes_total,experiment_tag
44b6_0113de3b,25822,25637,24999,24929,51,0.972383664235285,0.001703973356052978,0,3,0,0,0,51,44,0,44,44,88,0,24703,1,0,0,555528,60,0,0,5,24951,24139,812,99,24996,0,0,9,8,16,24,0,60,172,51,0,60,535,42,5,39,0,5,0,0,172,102,70,0,55,240,185,0,0,0,0,0,25629,8,1,9.768149709701538,selected_101_dual_seed_near_balanced_center_confirmed_synthetic_gap:tight55
44b6_0b24845f,22493,20744,20144,19456,15,0.9379097570381797,0.01080336104565865,0,2,0,0,0,343,243,0,243,243,486,0,21812,12,0,8,4639175,439,0,0,16,20374,19234,1140,99,20142,0,0,180,72,144,216,0,17,229,15,0,58,910,20,59,236,0,7,52,0,229,37,192,0,485,2120,1635,0,0,0,0,0,20741,3,1,9.768149709701538,selected_101_dual_seed_near_balanced_center_confirmed_synthetic_gap:tight55
6bba_05b6850b,6304,6151,6014,5957,9,0.9684604129409852,0.003013959390862944,0,3,0,0,0,20,19,0,19,19,38,0,4978,0,0,0,49339,32,0,0,1,6032,5826,206,99,6011,0,0,8,6,12,18,0,9,22,9,0,5,81,9,1,19,0,0,1,0,22,18,4,0,43,183,140,0,0,0,0,0,6151,0,1,9.768149709701538,selected_101_dual_seed_near_balanced_center_confirmed_synthetic_gap:tight55
6bba_05db0fb1,70673,70259,67223,68167,26,0.970224455229935,0.004358099981605422,0,1,0,0,0,429,308,0,308,308,616,0,67401,13,0,10,4007578,465,0,0,27,67975,65829,2146,99,67222,0,0,172,57,114,171,0,31,304,26,0,264,2655,37,51,300,0,8,43,0,304,68,236,0,188,809,621,0,0,0,0,0,70259,0,1,9.768149709701538,selected_101_dual_seed_near_balanced_center_confirmed_synthetic_gap:tight55
