config,adjusted_edge_jaccard,division_jaccard,proxy_score,div_tp,div_fp,div_fn,missed_gt_nodes,spurious_pred_nodes,edges_recovered,edges_fragmented,edges_lost_to_detection,wrong_association_edges,n_samples,seconds,overrides
tight55,0.9280211109565102,0.23076923076923078,0.9510980340334333,3,1,9,63,182954,5539,133,79,0,8,594.8279757499695,"{""MOTION_RELINK_TIGHT_UM"": 5.5}"
dcgap035,0.9259807306425198,0.23076923076923078,0.949057653719443,3,1,9,63,182864,5535,137,79,0,8,591.6611912250519,"{""DEEPCENTER_GAP_THRESHOLD"": 0.35}"
gap45,0.9259785004911691,0.23076923076923078,0.9490554235680922,3,1,9,63,182890,5535,137,79,0,8,569.8297021389008,"{""GAP_CLOSE_UM"": 4.5}"
bonus125,0.925970750635562,0.23076923076923078,0.9490476737124851,3,1,9,63,182949,5535,137,79,0,8,594.8639802932739,"{""MOTION_RELINK_LEARNED_BONUS"": 1.25}"
base,0.925962734024436,0.23076923076923078,0.9490396571013591,3,1,9,63,182951,5535,137,79,0,8,589.8533647060394,{}
gap2step40,0.925962734024436,0.23076923076923078,0.9490396571013591,3,1,9,63,182951,5535,137,79,0,8,590.1377313137054,"{""GAP2_MAX_STEP_UM"": 4.0}"
reuse28,0.925962734024436,0.23076923076923078,0.9490396571013591,3,1,9,63,182951,5535,137,79,0,8,590.4040238857269,"{""GAP_CLOSE_REUSE_UM"": 2.8}"
relaxed9,0.9266222630412898,0.21428571428571427,0.9480508344698613,3,2,9,66,182907,5532,137,82,0,8,597.2582447528839,"{""MOTION_RELINK_RELAXED_UM"": 9.0}"
