dataset,raw_nodes,nodes,raw_edges,edges,division_like_sources,edge_to_node_ratio,gap_added_nodes_frac,dropped_nonconsecutive_edges,dropped_long_edges,dropped_multi_parent_edges,dropped_multi_child_edges,dropped_division_edges,gap_candidates,gap_pairs_selected,gap_reused_existing,gap_inserted_synthetic,gap_added_nodes,gap_added_edges,gap_skipped_node_cap,gap_density_nodes_scored,gap_density_candidates_expanded,gap_density_candidates_restricted,gap_density_selected_outside_base,gap_density_step_delta_milli_sum,gap_refined_synthetic,gap_refine_failed,gap_refine_rejected_shift,pruned_isolated_nodes,motion_relink_edges,motion_relink_tight_edges,motion_relink_relaxed_edges,motion_relink_frames,motion_relink_replaced_raw_edges,motion_relink_fallback_raw,motion_relink_skipped_large_frame,gap2_candidates,gap2_pairs_selected,gap2_added_nodes,gap2_added_edges,gap2_skipped_cap,safe_division_candidates,safe_division_geometric_candidates,safe_divisions_added,safe_division_skipped_cap,safe_division_mutual_nn_rejected,safe_division_divergence_rejected,safe_division_symmetry_rejected,deepcenter_gap_checked,deepcenter_gap_bypassed_strong_motion,deepcenter_gap_bypassed_observed_node,deepcenter_gap_accepted,deepcenter_gap_rejected,deepcenter_gap_missing,deepcenter_safe_div_checked,deepcenter_safe_div_accepted,deepcenter_safe_div_rejected,deepcenter_safe_div_missing,short_track_components_removed,short_track_nodes_removed,short_track_edges_removed,short_track_filter_skipped_all,short_track_rescue_triggered,short_track_rescue_components,short_track_rescue_nodes,short_track_rescue_budget,linefit_smoothed_nodes,linefit_skipped_nodes,gap_close_effective_max_gap,predict_minutes_total,experiment_tag
44b6_0113de3b,25747,25520,24918,24769,41,0.9705721003134796,0.0018642948693051618,0,4,0,0,0,54,48,0,48,48,96,0,24389,2,0,0,698610,68,0,0,7,24822,24271,551,99,24914,0,0,12,10,20,30,0,53,174,41,0,76,551,36,4,44,0,4,0,0,174,89,85,0,68,288,220,0,0,0,0,0,25515,5,1,9.118006499608358,selected_101_dual_seed_near_balanced_center_confirmed_synthetic_gap:relaxed9
44b6_0b24845f,21817,20111,19541,18849,14,0.937248272089901,0.012008983819956914,0,1,0,0,0,374,262,0,262,262,524,0,21361,17,0,9,4628858,452,0,0,23,19707,18911,796,99,19540,0,0,157,70,140,210,0,16,220,14,0,53,862,20,57,255,0,7,50,0,220,36,184,0,479,2085,1606,0,0,0,0,0,20109,2,1,9.118006499608358,selected_101_dual_seed_near_balanced_center_confirmed_synthetic_gap:relaxed9
6bba_05b6850b,6287,6144,6006,5939,6,0.9666341145833334,0.003181167488468268,0,4,0,0,0,21,20,0,20,20,40,0,4540,0,0,0,59592,33,0,0,1,6008,5835,173,99,6002,0,0,7,6,12,18,0,6,21,6,0,6,86,11,2,19,0,1,1,0,21,17,4,0,41,174,133,0,0,0,0,0,6144,0,1,9.118006499608358,selected_101_dual_seed_near_balanced_center_confirmed_synthetic_gap:relaxed9
6bba_05db0fb1,70763,70228,67294,68052,32,0.9690152076095004,0.00464932238599268,0,0,0,0,0,468,329,0,329,329,658,0,66867,15,0,8,4768940,486,0,0,40,67907,66288,1619,99,67294,0,0,187,59,118,177,0,39,323,32,0,312,2867,39,49,319,0,10,39,0,323,78,245,0,220,942,722,0,0,0,0,0,70228,0,1,9.118006499608358,selected_101_dual_seed_near_balanced_center_confirmed_synthetic_gap:relaxed9
