config,adjusted_edge_jaccard,division_jaccard,proxy_score,div_tp,div_fp,div_fn,missed_gt_nodes,spurious_pred_nodes,edges_recovered,edges_fragmented,edges_lost_to_detection,wrong_association_edges,n_samples,seconds,overrides
relaxed9,0.9227252126082298,0.26666666666666666,0.9493918792748964,4,3,8,76,184000,5519,136,96,0,8,305.1929967403412,"{""MOTION_RELINK_RELAXED_UM"": 9.0}"
bonus125,0.9207830225503345,0.26666666666666666,0.9474496892170011,4,3,8,75,184201,5518,139,94,0,8,301.85012793540955,"{""MOTION_RELINK_LEARNED_BONUS"": 1.25}"
dcgap035,0.9205043060975248,0.26666666666666666,0.9471709727641914,4,3,8,75,184048,5517,140,94,0,8,300.0531237125397,"{""DEEPCENTER_GAP_THRESHOLD"": 0.35}"
gap45,0.9205040687062739,0.26666666666666666,0.9471707353729405,4,3,8,75,184066,5517,140,94,0,8,297.3310959339142,"{""GAP_CLOSE_UM"": 4.5}"
base,0.9204855902546096,0.26666666666666666,0.9471522569212762,4,3,8,75,184155,5517,140,94,0,8,302.88436365127563,{}
gap2step40,0.9204855902546096,0.26666666666666666,0.9471522569212762,4,3,8,75,184155,5517,140,94,0,8,300.9842355251312,"{""GAP2_MAX_STEP_UM"": 4.0}"
reuse28,0.9204855902546096,0.26666666666666666,0.9471522569212762,4,3,8,75,184155,5517,140,94,0,8,299.9633078575134,"{""GAP_CLOSE_REUSE_UM"": 2.8}"
tight55,0.9203393343887084,0.26666666666666666,0.947006001055375,4,3,8,77,184152,5516,137,98,0,8,309.5215072631836,"{""MOTION_RELINK_TIGHT_UM"": 5.5}"
