config,n,edge_jaccard,division_jaccard,division_tp,division_fp,division_fn,node_recall,adj_edge_jaccard,n_adj,score,adjusted_edge_jaccard,proxy_score,official_score,proxy_score_field_semantics,div_tp,div_fp,div_fn,metric_provenance,error_decomposition_provenance,official_rows_skipped,official_adjusted_rows_used,legacy_proxy_score,missed_gt_nodes,spurious_pred_nodes,edges_recovered,edges_fragmented,edges_lost_to_detection,wrong_association_edges,legacy_proxy_adjusted_edge_jaccard,legacy_proxy_division_jaccard,legacy_proxy_div_tp,legacy_proxy_div_fp,legacy_proxy_div_fn,legacy_proxy_missed_gt_nodes,legacy_proxy_spurious_pred_nodes,legacy_proxy_edges_recovered,legacy_proxy_edges_fragmented,legacy_proxy_edges_lost_to_detection,legacy_proxy_wrong_association_edges,n_samples,seconds,overrides
tight55,8,0.9250167000668003,0.15384615384615385,2,1,10,0.9844442605103172,0.928017490908908,8,0.9434021062935234,0.928017490908908,0.9434021062935234,0.9434021062935234,official_score_alias_for_unchanged_cell10,2,1,10,official_075fc5:evaluate->per_sample_metrics->summarise,unchanged_forge947_cell8_proxy; independent_global_node_matching,0,8,0.9510944139858309,63,182977,5539,133,79,0,0.9280174909089078,0.23076923076923078,3,1,9,63,182977,5539,133,79,0,8,443.2926857471466,"{""MOTION_RELINK_TIGHT_UM"": 5.5}"
dcgap035,8,0.9229614807403702,0.15384615384615385,2,1,10,0.9844442605103172,0.9259782265324261,8,0.9413628419170414,0.9259782265324261,0.9413628419170414,0.9413628419170414,official_score_alias_for_unchanged_cell10,2,1,10,official_075fc5:evaluate->per_sample_metrics->summarise,unchanged_forge947_cell8_proxy; independent_global_node_matching,0,8,0.9490551496093492,63,182882,5535,137,79,0,0.9259782265324261,0.23076923076923078,3,1,9,63,182882,5535,137,79,0,8,438.512900352478,"{""DEEPCENTER_GAP_THRESHOLD"": 0.35}"
gap45,8,0.9229614807403702,0.15384615384615385,2,1,10,0.9844442605103172,0.9259759963810754,8,0.9413606117656907,0.9259759963810754,0.9413606117656907,0.9413606117656907,official_score_alias_for_unchanged_cell10,2,1,10,official_075fc5:evaluate->per_sample_metrics->summarise,unchanged_forge947_cell8_proxy; independent_global_node_matching,0,8,0.9490529194579985,63,182908,5535,137,79,0,0.9259759963810754,0.23076923076923078,3,1,9,63,182908,5535,137,79,0,8,429.8498430252075,"{""GAP_CLOSE_UM"": 4.5}"
bonus125,8,0.9229614807403702,0.15384615384615385,2,1,10,0.9844442605103172,0.9259686858460173,8,0.9413533012306328,0.9259686858460173,0.9413533012306328,0.9413533012306328,official_score_alias_for_unchanged_cell10,2,1,10,official_075fc5:evaluate->per_sample_metrics->summarise,unchanged_forge947_cell8_proxy; independent_global_node_matching,0,8,0.9490456089229404,63,182965,5535,137,79,0,0.9259686858460173,0.23076923076923078,3,1,9,63,182965,5535,137,79,0,8,444.6824324131012,"{""MOTION_RELINK_LEARNED_BONUS"": 1.25}"
base,8,0.9229614807403702,0.15384615384615385,2,1,10,0.9844442605103172,0.9259602299143423,8,0.9413448452989577,0.9259602299143423,0.9413448452989577,0.9413448452989577,official_score_alias_for_unchanged_cell10,2,1,10,official_075fc5:evaluate->per_sample_metrics->summarise,unchanged_forge947_cell8_proxy; independent_global_node_matching,0,8,0.9490371529912655,63,182969,5535,137,79,0,0.9259602299143423,0.23076923076923078,3,1,9,63,182969,5535,137,79,0,8,459.25634837150574,{}
gap2step40,8,0.9229614807403702,0.15384615384615385,2,1,10,0.9844442605103172,0.9259602299143423,8,0.9413448452989577,0.9259602299143423,0.9413448452989577,0.9413448452989577,official_score_alias_for_unchanged_cell10,2,1,10,official_075fc5:evaluate->per_sample_metrics->summarise,unchanged_forge947_cell8_proxy; independent_global_node_matching,0,8,0.9490371529912655,63,182969,5535,137,79,0,0.9259602299143423,0.23076923076923078,3,1,9,63,182969,5535,137,79,0,8,443.1504909992218,"{""GAP2_MAX_STEP_UM"": 4.0}"
reuse28,8,0.9229614807403702,0.15384615384615385,2,1,10,0.9844442605103172,0.9259602299143423,8,0.9413448452989577,0.9259602299143423,0.9413448452989577,0.9413448452989577,official_score_alias_for_unchanged_cell10,2,1,10,official_075fc5:evaluate->per_sample_metrics->summarise,unchanged_forge947_cell8_proxy; independent_global_node_matching,0,8,0.9490371529912655,63,182969,5535,137,79,0,0.9259602299143423,0.23076923076923078,3,1,9,63,182969,5535,137,79,0,8,440.7836756706238,"{""GAP_CLOSE_REUSE_UM"": 2.8}"
relaxed9,8,0.9235392320534224,0.14285714285714285,2,2,10,0.9840410347038656,0.926620086834169,8,0.9409058011198832,0.926620086834169,0.9409058011198832,0.9409058011198832,official_score_alias_for_unchanged_cell10,2,2,10,official_075fc5:evaluate->per_sample_metrics->summarise,unchanged_forge947_cell8_proxy; independent_global_node_matching,0,8,0.9480486582627404,66,182927,5532,137,82,0,0.926620086834169,0.21428571428571427,3,2,9,66,182927,5532,137,82,0,8,444.6712679862976,"{""MOTION_RELINK_RELAXED_UM"": 9.0}"
