adj_edge_jaccard,adjusted_edge_jaccard,config,div_fn,div_fp,div_jaccard,div_tp,division_fn,division_fp,division_tp,edge_fn,edge_fp,edge_jaccard,edge_tp,edges_fragmented,edges_lost_to_detection,edges_recovered,error_decomposition_provenance,input_graph_hash_schema,input_graph_provenance,input_gt_graph_sha256,input_match_radius_um,input_n_total,input_pred_graph_sha256,input_scale_zyx_um,legacy_proxy_adjusted_edge_jaccard,legacy_proxy_div_fn,legacy_proxy_div_fp,legacy_proxy_div_jaccard,legacy_proxy_div_tp,legacy_proxy_edge_fn,legacy_proxy_edge_fp,legacy_proxy_edge_jaccard,legacy_proxy_edge_tp,legacy_proxy_edges_fragmented,legacy_proxy_edges_lost_to_detection,legacy_proxy_edges_recovered,legacy_proxy_missed_gt_nodes,legacy_proxy_spurious_pred_nodes,legacy_proxy_t_pred,legacy_proxy_t_true,legacy_proxy_weight,legacy_proxy_wrong_association_edges,metric_provenance,missed_gt_nodes,node_recall,num_pred_nodes,official_edgeless_recall_matching,safe_divisions_added,spurious_pred_nodes,stem,t_pred,t_true,total_node_ratio,weight,wrong_association_edges
0.8818503227572364,0.8818503227572364,gap45,1,1,0.0,0,1,1,0,12,21,0.8571428571428571,198,12,0,198,unchanged_forge947_cell8_proxy; independent_global_node_matching,"ordered_plain_graph_v1:node_id,t,z,y,x;ordered_source,target;canonical_json_utf8",same_plain_graph_received_by_legacy_proxy_and_official_adapter,0d65bb8e038d7cc0e5cc0494bbf5a0c2ee68a10f7ebadc14044ce03fdbff91b5,7.0,56367.0,19bf9f6c81ed9b4f4782d675de3964d56d5e295cd5393568fdedca4d34466c8c,"(1.625, 0.40625, 0.40625)",0.8818503227572364,0,1,0.5,1,12,21,0.8571428571428571,198,12,0,198,0,39905,40119,56367.0,231,0,official_075fc5:evaluate->per_sample_metrics->summarise,0,1.0,40119,False,41,39905,44b6_2a2eff9f,40119,56367.0,-0.28825376550109105,231,0
0.9774708453122144,0.9774708453122144,gap45,0,0,1.0,1,0,0,1,2,0,0.9904306220095693,207,0,2,207,unchanged_forge947_cell8_proxy; independent_global_node_matching,"ordered_plain_graph_v1:node_id,t,z,y,x;ordered_source,target;canonical_json_utf8",same_plain_graph_received_by_legacy_proxy_and_official_adapter,737532e3cafe8e86ebfa9fcc4190c7860e0127f45756761f5503e894a815cfef,7.0,7436.0,305a7de4c4968b02d5f9b0815aee2fc9b49bf727e60b37fbf228d228a70a212c,"(1.625, 0.40625, 0.40625)",0.9774708453122144,0,0,1.0,1,2,0,0.9904306220095693,207,0,2,207,2,8195,8409,7436.0,209,0,official_075fc5:evaluate->per_sample_metrics->summarise,2,0.9907407407407407,8409,False,11,8195,44b6_341df25f,8409,7436.0,0.13084991931145779,209,0
0.9829874384981172,0.9829874384981172,gap45,0,0,1.0,1,0,0,1,11,7,0.980110497237569,887,5,6,887,unchanged_forge947_cell8_proxy; independent_global_node_matching,"ordered_plain_graph_v1:node_id,t,z,y,x;ordered_source,target;canonical_json_utf8",same_plain_graph_received_by_legacy_proxy_and_official_adapter,00789e40cd27ab4c522884eac7fbb4ffc55e641c9647a402316c63042123056d,7.0,6030.0,26c2ab4a438173d7ee24f53a5ceb54d24d4356ffbda18da6daad2f0b39f2df10,"(1.625, 0.40625, 0.40625)",0.9829874384981172,0,0,1.0,1,11,7,0.980110497237569,887,5,6,887,6,4929,5853,6030.0,905,0,official_075fc5:evaluate->per_sample_metrics->summarise,6,0.9935483870967742,5853,False,4,4929,6bba_062c8d37,5853,6030.0,-0.02935323383084577,905,0
0.8083259617254472,0.8083259617254472,gap45,2,0,0.0,0,2,0,0,39,20,0.8383561643835616,306,7,32,306,unchanged_forge947_cell8_proxy; independent_global_node_matching,"ordered_plain_graph_v1:node_id,t,z,y,x;ordered_source,target;canonical_json_utf8",same_plain_graph_received_by_legacy_proxy_and_official_adapter,cedf0c3a2f8cfcdca4c75c6c1b1e8519512ddcc654aba5eb471c2b4ff7f3580d,7.0,21485.0,5c52f9769711462ea5933abe34304b3e4e6801ad958946a81af882207491a74f,"(1.625, 0.40625, 0.40625)",0.8083259617254472,2,0,0.0,0,39,20,0.8383561643835616,306,7,32,306,26,28848,29181,21485.0,365,0,official_075fc5:evaluate->per_sample_metrics->summarise,26,0.9275766016713092,29181,False,6,28848,6bba_07e24132,29181,21485.0,0.35820339771933907,365,0
0.9950752546782322,0.9950752546782322,gap45,1,0,0.0,0,1,0,0,6,2,0.9931623931623932,1162,0,6,1162,unchanged_forge947_cell8_proxy; independent_global_node_matching,"ordered_plain_graph_v1:node_id,t,z,y,x;ordered_source,target;canonical_json_utf8",same_plain_graph_received_by_legacy_proxy_and_official_adapter,64990f20b37c73ab00ddce538fd8dbd8540111ad33623ad8ff815bdbe569a3ac,7.0,8463.0,a06752a3bb430bfee50ce8d77fd9fc7e1646f632f231eb689ce0ad6d665451ad,"(1.625, 0.40625, 0.40625)",0.9950752546782322,1,0,0.0,0,6,2,0.9931623931623932,1162,0,6,1162,5,7107,8300,8463.0,1170,0,official_075fc5:evaluate->per_sample_metrics->summarise,5,0.9958263772954925,8300,False,4,7107,6bba_085bf656,8300,8463.0,-0.01926030958289023,1170,0
0.891075219930332,0.891075219930332,gap45,4,0,0.0,0,4,0,0,94,132,0.8871692461308038,1777,77,17,1777,unchanged_forge947_cell8_proxy; independent_global_node_matching,"ordered_plain_graph_v1:node_id,t,z,y,x;ordered_source,target;canonical_json_utf8",same_plain_graph_received_by_legacy_proxy_and_official_adapter,2dce94f7f71d489e6e6626b945161c919b0e248d47aadb6717d1776c5c190972,7.0,31117.0,a845513f30d193291561290b158a03ccff9ee370e05bbe48c24b20fe6825b0d3,"(1.625, 0.40625, 0.40625)",0.891075219930332,4,0,0.0,0,94,132,0.8871692461308038,1777,77,17,1777,13,27810,29747,31117.0,2003,0,official_075fc5:evaluate->per_sample_metrics->summarise,13,0.9933333333333333,29747,False,26,27810,6bba_09961292,29747,31117.0,-0.044027380531542246,2003,0
0.9471907457431684,0.9471907457431684,tight55,1,0,0.0,0,1,0,0,27,33,0.9255583126550868,746,19,8,746,unchanged_forge947_cell8_proxy; independent_global_node_matching,"ordered_plain_graph_v1:node_id,t,z,y,x;ordered_source,target;canonical_json_utf8",same_plain_graph_received_by_legacy_proxy_and_official_adapter,c6011d3bc4e095e59278cbf7a833d3bf40fb009c62dd9f9ca22904b072be619b,7.0,58672.0,ab9be00792b44662a62bdea3136d145a9a273880d3d27332835889b80d2d7f3c,"(1.625, 0.40625, 0.40625)",0.9471907457431684,1,0,0.0,0,27,33,0.9255583126550868,746,19,8,746,6,44177,44959,58672.0,806,0,official_075fc5:evaluate->per_sample_metrics->summarise,6,0.9923857868020305,44959,False,24,44177,44b6_12dfb391,44959,58672.0,-0.23372307062994274,806,0
0.813196071598181,0.813196071598181,tight55,1,0,0.0,0,1,0,0,24,29,0.826797385620915,253,16,8,253,unchanged_forge947_cell8_proxy; independent_global_node_matching,"ordered_plain_graph_v1:node_id,t,z,y,x;ordered_source,target;canonical_json_utf8",same_plain_graph_received_by_legacy_proxy_and_official_adapter,e49345f7586d669ccfae3d935039aa833362c058a4103ecd9be24dd17774d6f4,7.0,19130.0,23b2b8403079f568e94f18bc76dbede0296b7145e809c1a7126705e495154356,"(1.625, 0.40625, 0.40625)",0.813196071598181,1,0,0.0,0,24,29,0.826797385620915,253,16,8,253,5,22002,22277,19130.0,306,0,official_075fc5:evaluate->per_sample_metrics->summarise,5,0.9821428571428571,22277,False,29,22002,44b6_267148e4,22277,19130.0,0.16450601150026137,306,0
0.8818396782311838,0.8818396782311838,tight55,1,1,0.0,0,1,1,0,12,21,0.8571428571428571,198,12,0,198,unchanged_forge947_cell8_proxy; independent_global_node_matching,"ordered_plain_graph_v1:node_id,t,z,y,x;ordered_source,target;canonical_json_utf8",same_plain_graph_received_by_legacy_proxy_and_official_adapter,0d65bb8e038d7cc0e5cc0494bbf5a0c2ee68a10f7ebadc14044ce03fdbff91b5,7.0,56367.0,f13091ec15514daf05a7aeb79fe7af40a6a33b95b030d0a56e5ddd6ff06265fc,"(1.625, 0.40625, 0.40625)",0.8818396782311838,0,1,0.5,1,12,21,0.8571428571428571,198,12,0,198,0,39912,40126,56367.0,231,0,official_075fc5:evaluate->per_sample_metrics->summarise,0,1.0,40126,False,40,39912,44b6_2a2eff9f,40126,56367.0,-0.28812957936381217,231,0
0.9774175677101697,0.9774175677101697,tight55,0,0,1.0,1,0,0,1,2,0,0.9904306220095693,207,0,2,207,unchanged_forge947_cell8_proxy; independent_global_node_matching,"ordered_plain_graph_v1:node_id,t,z,y,x;ordered_source,target;canonical_json_utf8",same_plain_graph_received_by_legacy_proxy_and_official_adapter,737532e3cafe8e86ebfa9fcc4190c7860e0127f45756761f5503e894a815cfef,7.0,7436.0,c63c895104e75c50f3918da3f095cb11ad4a7643970d7beaedf23a5d7cbadb6a,"(1.625, 0.40625, 0.40625)",0.9774175677101697,0,0,1.0,1,2,0,0.9904306220095693,207,0,2,207,2,8199,8413,7436.0,209,0,official_075fc5:evaluate->per_sample_metrics->summarise,2,0.9907407407407407,8413,False,11,8199,44b6_341df25f,8413,7436.0,0.13138784292630445,209,0
