dataset,raw_nodes,nodes,raw_edges,edges,division_like_sources,edge_to_node_ratio,gap_added_nodes_frac,dropped_nonconsecutive_edges,dropped_long_edges,dropped_multi_parent_edges,dropped_multi_child_edges,dropped_division_edges,gap_candidates,gap_pairs_selected,gap_reused_existing,gap_inserted_synthetic,gap_added_nodes,gap_added_edges,gap_skipped_node_cap,gap_density_nodes_scored,gap_density_candidates_expanded,gap_density_candidates_restricted,gap_density_selected_outside_base,gap_density_step_delta_milli_sum,gap_refined_synthetic,gap_refine_failed,gap_refine_rejected_shift,pruned_isolated_nodes,motion_relink_edges,motion_relink_tight_edges,motion_relink_relaxed_edges,motion_relink_frames,motion_relink_replaced_raw_edges,motion_relink_fallback_raw,motion_relink_skipped_large_frame,gap2_candidates,gap2_pairs_selected,gap2_added_nodes,gap2_added_edges,gap2_skipped_cap,safe_division_candidates,safe_division_geometric_candidates,safe_divisions_added,safe_division_skipped_cap,safe_division_mutual_nn_rejected,safe_division_divergence_rejected,safe_division_symmetry_rejected,deepcenter_gap_checked,deepcenter_gap_bypassed_strong_motion,deepcenter_gap_bypassed_observed_node,deepcenter_gap_accepted,deepcenter_gap_rejected,deepcenter_gap_missing,deepcenter_safe_div_checked,deepcenter_safe_div_accepted,deepcenter_safe_div_rejected,deepcenter_safe_div_missing,short_track_components_removed,short_track_nodes_removed,short_track_edges_removed,short_track_filter_skipped_all,short_track_rescue_triggered,short_track_rescue_components,short_track_rescue_nodes,short_track_rescue_budget,linefit_smoothed_nodes,linefit_skipped_nodes,gap_close_effective_max_gap,predict_minutes_total,experiment_tag
44b6_0113de3b,25822,25619,24999,24880,39,0.9711542214762481,0.0017814266904190225,0,3,0,0,0,52,46,0,46,46,92,0,24703,2,0,0,634895,66,0,0,9,24918,24139,779,99,24996,0,0,12,10,20,30,0,39,171,39,0,65,556,46,4,42,0,4,0,0,171,109,62,0,61,260,199,0,0,0,0,0,25612,7,1,9.30143632888794,selected_101_dual_seed_near_balanced_center_confirmed_synthetic_gap:combo(tight55+relaxed9)
44b6_0b24845f,22491,20713,20145,19401,11,0.9366581374016318,0.011337868480725623,0,2,0,0,0,362,255,0,255,255,510,0,22065,12,0,8,4875382,459,0,0,16,20321,19236,1085,99,20143,0,0,195,75,150,225,0,11,223,11,0,54,934,47,59,250,0,5,54,0,223,73,150,0,501,2167,1666,0,0,0,0,0,20711,2,1,9.30143632888794,selected_101_dual_seed_near_balanced_center_confirmed_synthetic_gap:combo(tight55+relaxed9)
6bba_05b6850b,6305,6130,6015,5927,6,0.9668841761827079,0.003330689928628073,0,3,0,0,0,22,21,0,21,21,42,0,4979,0,0,0,57964,34,0,0,1,6018,5826,192,99,6012,0,0,8,6,12,18,0,6,22,6,0,5,85,11,1,21,0,0,1,0,22,21,1,0,50,207,157,0,0,0,0,0,6130,0,1,9.30143632888794,selected_101_dual_seed_near_balanced_center_confirmed_synthetic_gap:combo(tight55+relaxed9)
6bba_05db0fb1,70687,70257,67239,68093,24,0.9691987986962153,0.004555293052470751,0,1,0,0,0,455,322,0,322,322,644,0,68121,17,0,10,4395135,475,0,0,30,67896,65845,2051,99,67238,0,0,181,55,110,165,0,26,321,24,0,290,2727,58,52,313,0,9,43,0,321,107,214,0,196,832,636,0,0,0,0,0,70257,0,1,9.30143632888794,selected_101_dual_seed_near_balanced_center_confirmed_synthetic_gap:combo(tight55+relaxed9)
