adjusted_edge_jaccard,config,div_fn,div_fp,div_jaccard,div_tp,edge_fn,edge_fp,edge_jaccard,edge_tp,edges_fragmented,edges_lost_to_detection,edges_recovered,missed_gt_nodes,safe_divisions_added,spurious_pred_nodes,stem,t_pred,t_true,weight,wrong_association_edges
0.9785491234043175,bonus125,0,0,1.0,1,14,8,0.9757174392935982,884,5,9,884,9,2,4934,6bba_062c8d37,5855,6030.0,906,0
0.8126383004094726,bonus125,2,0,0.0,0,39,18,0.8429752066115702,306,7,32,306,26,4,28884,6bba_07e24132,29217,21485.0,363,0
0.9950752546782322,bonus125,1,0,0.0,0,6,2,0.9931623931623932,1162,0,6,1162,5,4,7107,6bba_085bf656,8300,8463.0,1170,0
0.8981034256204845,bonus125,4,0,0.0,0,89,122,0.8941294530858003,1782,72,17,1782,13,19,27797,6bba_09961292,29734,31117.0,1993,0
0.9472222959992582,gap2step40,1,0,0.0,0,27,33,0.9255583126550868,746,19,8,746,6,22,44157,44b6_12dfb391,44939,58672.0,806,0
0.8026264269935753,gap2step40,1,0,0.0,0,24,33,0.8161290322580645,253,18,6,253,4,12,22019,44b6_267148e4,22295,19130.0,310,0
0.8818320749982893,gap2step40,0,1,0.5,1,12,21,0.8571428571428571,198,12,0,198,0,32,39917,44b6_2a2eff9f,40131,56367.0,231,0
0.9774308871106809,gap2step40,0,0,1.0,1,2,0,0.9904306220095693,207,0,2,207,2,7,8198,44b6_341df25f,8412,7436.0,209,0
0.9763645023687149,gap2step40,0,0,1.0,1,15,9,0.9735391400220507,883,6,9,883,9,2,4934,6bba_062c8d37,5855,6030.0,907,0
0.81261868264809,gap2step40,2,0,0.0,0,39,18,0.8429752066115702,306,7,32,306,26,4,28889,6bba_07e24132,29222,21485.0,363,0
0.9950752546782322,gap2step40,1,0,0.0,0,6,2,0.9931623931623932,1162,0,6,1162,5,4,7107,6bba_085bf656,8300,8463.0,1170,0
0.8980976787332325,gap2step40,4,0,0.0,0,89,122,0.8941294530858003,1782,72,17,1782,13,19,27799,6bba_09961292,29736,31117.0,1993,0
0.9472222959992582,reuse28,1,0,0.0,0,27,33,0.9255583126550868,746,19,8,746,6,22,44157,44b6_12dfb391,44939,58672.0,806,0
0.8026264269935753,reuse28,1,0,0.0,0,24,33,0.8161290322580645,253,18,6,253,4,12,22019,44b6_267148e4,22295,19130.0,310,0
0.8818320749982893,reuse28,0,1,0.5,1,12,21,0.8571428571428571,198,12,0,198,0,32,39917,44b6_2a2eff9f,40131,56367.0,231,0
0.9774308871106809,reuse28,0,0,1.0,1,2,0,0.9904306220095693,207,0,2,207,2,7,8198,44b6_341df25f,8412,7436.0,209,0
0.9763645023687149,reuse28,0,0,1.0,1,15,9,0.9735391400220507,883,6,9,883,9,2,4934,6bba_062c8d37,5855,6030.0,907,0
0.81261868264809,reuse28,2,0,0.0,0,39,18,0.8429752066115702,306,7,32,306,26,4,28889,6bba_07e24132,29222,21485.0,363,0
0.9950752546782322,reuse28,1,0,0.0,0,6,2,0.9931623931623932,1162,0,6,1162,5,4,7107,6bba_085bf656,8300,8463.0,1170,0
0.8980976787332325,reuse28,4,0,0.0,0,89,122,0.8941294530858003,1782,72,17,1782,13,19,27799,6bba_09961292,29736,31117.0,1993,0
0.9472696213833933,dcgap035,1,0,0.0,0,27,33,0.9255583126550868,746,19,8,746,6,23,44127,44b6_12dfb391,44909,58672.0,806,0
0.8026989528354384,dcgap035,1,0,0.0,0,24,33,0.8161290322580645,253,18,6,253,4,12,22002,44b6_267148e4,22278,19130.0,310,0
0.8818822563353939,dcgap035,0,1,0.5,1,12,21,0.8571428571428571,198,12,0,198,0,33,39884,44b6_2a2eff9f,40098,56367.0,231,0
0.9774308871106809,dcgap035,0,0,1.0,1,2,0,0.9904306220095693,207,0,2,207,2,7,8198,44b6_341df25f,8412,7436.0,209,0
0.9763645023687149,dcgap035,0,0,1.0,1,15,9,0.9735391400220507,883,6,9,883,9,2,4934,6bba_062c8d37,5855,6030.0,907,0
0.812626529752643,dcgap035,2,0,0.0,0,39,18,0.8429752066115702,306,7,32,306,26,5,28887,6bba_07e24132,29220,21485.0,363,0
0.9950752546782322,dcgap035,1,0,0.0,0,6,2,0.9931623931623932,1162,0,6,1162,5,4,7107,6bba_085bf656,8300,8463.0,1170,0
0.8981149193949881,dcgap035,4,0,0.0,0,89,122,0.8941294530858003,1782,72,17,1782,13,19,27793,6bba_09961292,29730,31117.0,1993,0
0.9472144084352359,combo(tight55+relaxed9),1,0,0.0,0,27,33,0.9255583126550868,746,19,8,746,6,22,44162,44b6_12dfb391,44944,58672.0,806,0
0.8077094690463744,combo(tight55+relaxed9),1,0,0.0,0,24,31,0.8214285714285714,253,18,6,253,4,15,22049,44b6_267148e4,22325,19130.0,308,0
0.8818929008614462,combo(tight55+relaxed9),0,1,0.5,1,12,21,0.8571428571428571,198,12,0,198,0,32,39877,44b6_2a2eff9f,40091,56367.0,231,0
0.9774442065111921,combo(tight55+relaxed9),0,0,1.0,1,2,0,0.9904306220095693,207,0,2,207,2,8,8197,44b6_341df25f,8411,7436.0,209,0
0.9812167774695842,combo(tight55+relaxed9),0,0,1.0,1,14,6,0.9778761061946902,884,5,9,884,9,2,4903,6bba_062c8d37,5824,6030.0,904,0
0.8220603133969436,combo(tight55+relaxed9),2,0,0.0,0,38,15,0.8527777777777777,307,6,32,307,26,4,28891,6bba_07e24132,29224,21485.0,360,0
0.9934870259076204,combo(tight55+relaxed9),1,0,0.0,0,7,3,0.9914602903501281,1161,1,6,1161,5,3,7097,6bba_085bf656,8290,8463.0,1171,0
0.9065597437238341,combo(tight55+relaxed9),4,0,0.0,0,84,109,0.9025252525252525,1787,67,17,1787,13,20,27789,6bba_09961292,29726,31117.0,1980,0
